vintage,CAPE,realized,pred_l0.0,pred_l0.5,pred_l1.0
1881,15.958754206105079,0.040062415151856046,0.050727233330037064,0.0557334361901424,0.060739639050247735
1882,15.382128332081972,0.04364311941672394,0.04825719202882138,0.05158361913105057,0.05491004623327976
1883,14.89640394188716,0.02923940990828333,0.053446390674472155,0.05723100698261213,0.06101562329075211
1884,13.432292746944762,0.04653122588402625,0.05797836590117701,0.06515168286504992,0.07232499982892283
1885,16.304475952278523,0.02666350121343508,0.03651344217185751,0.03337862366198005,0.030243805152102593
1886,18.194057556886445,0.016061884033114815,0.026448616125550037,0.019118630725032823,0.01178864532451561
1887,15.455513454469948,0.034931714726375684,0.052608528690745227,0.053966922884250146,0.055325317077755065
1888,14.946748301089228,0.05482301472596385,0.06490407166661276,0.06772063226467855,0.07053719286274433
1889,16.61033807660339,0.05688413634089762,0.038764677765096525,0.03660683669025423,0.03444899561541194
1890,14.442991231338441,0.08664816514063522,0.04836546830948178,0.053428759114065236,0.05849204991864869
1891,18.20630300020994,0.08444457881024059,0.0297829135498843,0.023378699569080813,0.016974485588277327
1892,18.01300925127574,0.08350118624041825,0.0357298432413071,0.0306613142997835,0.0255927853582599
1893,15.612694335464935,0.08517397286603323,0.04898806426395928,0.05096011848572844,0.0529321727074976
1894,16.672466333767737,0.11242031383049533,0.044923589918867315,0.043684558044427405,0.042445526169987494
1895,16.548415156667968,0.12722783176619168,0.04399741500285721,0.04330780100367422,0.04261818700449123
1896,16.501404180590093,0.1327623191325913,0.04595612991394636,0.045530040022686666,0.04510395013142697
1897,18.7487576625255,0.07664278750158204,0.03538796435219309,0.02890828927670107,0.02242861420120905
1898,21.40363198544817,0.09412460569056225,0.03428044972510917,0.02180323445530434,0.00932601918549951
1899,18.51264964360019,0.10279435252375935,0.05509663574677995,0.050509504632959085,0.04592237351913822
1900,20.744051160870857,0.0750612623436242,0.05899346490072509,0.049044612519063266,0.039095760137401445
1901,21.680215141029684,0.0613668448932716,0.06540735176781252,0.05408445801800803,0.04276156426820353
1902,19.633232126823845,0.06432819022985514,0.07184156225686683,0.06599939740652166,0.0601572325561765
1903,16.042894140050144,0.0704774052516619,0.08622761948234452,0.09048945754413744,0.09475129560593036
1904,18.1596791187032,0.03799050520364067,0.08235498649261637,0.08026604633817076,0.07817710618372516
