date,ticker,side,shares,price
2026-02-13,GLD,buy,13,7903.0
2026-02-13,QQQ,buy,68,10364.0
2026-02-13,SOXX,buy,82,6120.0
2026-02-13,VGT,buy,55,12605.18
2026-02-13,VUG,buy,31,7956.67
2026-02-26,AMZN,buy,14,3550.0
2026-02-26,IBM,buy,12,4250.0
2026-02-26,MSFT,buy,8,6930.0
2026-02-26,QQQ,buy,13,10458.0
2026-02-26,SOXX,buy,16,6110.0
2026-02-26,VGT,buy,5,12700.0
2026-02-26,VGT,buy,5,12700.0
2026-02-26,VGT,buy,1,12700.0
2026-03-12,GLD,buy,8,8425.96
2026-03-12,QQQ,buy,22,10711.0
2026-03-12,SOXX,buy,10,5907.0
2026-03-12,SOXX,buy,10,5907.0
2026-03-12,SOXX,buy,7,5907.0
2026-03-12,VGT,buy,19,12945.94
2026-03-12,VUG,buy,10,8172.36
2026-03-17,GLD,buy,5,8120.0
2026-03-17,GLD,buy,5,8120.0
2026-03-17,QQQ,buy,10,10650.0
2026-03-17,VGT,sell,22,12845.52
2026-03-17,VUG,buy,12,8160.0
2026-03-18,GMEXICO B,buy,48,185.5
2026-03-18,GMEXICO B,buy,200,185.5
2026-03-18,GMEXICO B,buy,14,185.5
2026-03-19,GLD,buy,10,7550.15
2026-03-19,GMEXICO B,buy,100,178.65
2026-03-19,GMEXICO B,buy,100,178.65
2026-03-19,GMEXICO B,buy,27,178.65
2026-03-19,GMEXICO B,buy,35,178.65
2026-03-19,GOOGL,buy,5,5430.0
2026-03-19,GOOGL,buy,4,5430.0
2026-03-19,QQQ,buy,9,10550.0
2026-03-19,QQQ,buy,4,10550.0
2026-03-23,GLD,buy,21,7180.0
2026-03-26,AMZN,buy,21,3720.0
2026-03-26,GOOGL,buy,7,5158.99
2026-03-26,GOOGL,buy,2,5159.0
2026-03-26,GOOGL,buy,14,5040.0
2026-03-26,MSFT,buy,8,6589.96
2026-03-26,SOXX,buy,25,5924.8
2026-03-26,SOXX,buy,1,5933.0
2026-03-26,SOXX,buy,24,5962.0
2026-03-26,VGT,buy,39,12488.0
2026-03-26,VUG,buy,18,7766.95
2026-04-24,AMZN,sell,15,4572.82
2026-04-24,BA,buy,25,4063.0
2026-04-24,GLD,buy,15,7546.0
2026-04-24,GOOGL,sell,2,5965.87
2026-04-24,GOOGL,sell,2,5965.87
2026-04-24,GOOGL,sell,11,5965.87
2026-04-24,MSFT,sell,1,7302.2
2026-04-24,MSFT,sell,7,7297.7
2026-04-24,QQQ,sell,2,11549.76
2026-04-24,QQQ,sell,48,11549.76
2026-04-24,VGT,sell,400,1811.01
2026-04-24,VUG,sell,210,1442.0
2026-04-28,GLD,buy,4,7314.0
2026-04-28,GLD,buy,2,7314.0
2026-04-28,QQQ,buy,6,11395.0
2026-04-28,QQQ,buy,19,11395.0
2026-04-28,VUG,buy,70,1446.0
2026-04-29,SOXX,sell,10,7810.0
2026-04-29,SOXX,sell,60,7810.0
2026-04-30,META,buy,1,10700.0
2026-04-30,META,buy,11,10700.0
2026-04-30,MSFT,buy,10,7134.01
2026-05-07,QQQ,buy,8,11989.5
2026-05-07,SOXX,buy,24,8508.0
2026-05-07,VGT,buy,200,1890.52
2026-05-07,VUG,buy,67,1487.0
2026-05-08,JPM,buy,19,5200.0
2026-05-08,MA,buy,17,8550.0
2026-05-08,MELI N,buy,6,28115.0
2026-05-12,QQQ,buy,37,12036.87
2026-05-12,SOXX,buy,10,8573.0
2026-05-12,SOXX,buy,25,8573.0
2026-05-12,VGT,buy,230,1904.76
2026-05-12,VUG,buy,100,1483.0
2026-05-13,BA,buy,25,4150.0
2026-05-13,LMT,buy,11,8939.1
2026-05-13,QQQ,sell,44,12255.75
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,5,9110.0
2026-05-13,SOXX,sell,20,9110.0
2026-05-13,SOXX,sell,10,9110.0
2026-05-13,VGT,sell,47,1952.76
2026-05-13,VGT,sell,50,1952.76
2026-05-13,VGT,sell,1,1952.76
2026-05-13,VGT,sell,15,1952.76
2026-05-13,VGT,sell,65,1952.76
2026-05-13,VGT,sell,45,1952.76
2026-05-13,VGT,sell,35,1952.76
2026-05-13,VGT,sell,162,1952.76
2026-05-18,CCJ N,buy,78,1907.0
2026-05-18,MCHI,buy,2,985.0
2026-05-18,MCHI,buy,50,985.0
2026-05-18,MCHI,buy,1,985.0
2026-05-18,MCHI,buy,139,985.0
2026-05-18,MCHI,buy,1,980.07
2026-05-18,MCHI,buy,7,980.07
2026-05-19,AMAT,buy,7,7145.0
2026-05-19,AMAT,buy,7,7145.0
2026-05-19,QQQ,buy,46,12177.15
2026-05-19,SOXX,buy,47,8490.0
2026-05-19,VGT,buy,1,1926.0
2026-05-19,VGT,buy,289,1926.0
2026-05-19,VUG,buy,133,1500.0
