date,ember,baseline
2026-06-18,100.0,100.0
2026-06-22,99.8068,99.5975
2026-06-23,98.7254,98.5362
2026-06-24,98.4115,98.1184
2026-06-25,98.5358,98.3914
2026-06-26,98.5546,98.3276
2026-06-29,98.9618,98.8804
2026-06-30,98.7463,99.1006
2026-07-01,98.3995,98.976
2026-07-02,98.6254,98.9913
2026-07-06,99.7262,100.0055
2026-07-07,99.1549,99.3692
2026-07-08,98.7604,98.9935
2026-07-09,99.2299,99.6746
2026-07-10,99.5707,99.8019
2026-07-13,98.6582,98.7832
2026-07-14,99.4937,99.31
2026-07-15,99.7655,99.5911
2026-07-16,99.238,98.906
2026-07-17,99.043,98.6362
2026-07-20,99.069,98.4175
2026-07-21,99.6006,99.1407
2026-07-22,99.599,99.2469
2026-07-23,98.7914,98.1495
2026-07-24,98.7185,98.2764
2026-07-27,98.9469,98.411
2026-07-28,98.8565,98.3356
2026-07-29,98.2536,97.5477
2026-07-30,99.1776,98.6967
2026-07-31,98.8585,98.669
2026-08-03,99.2864,99.4435
2026-08-04,100.1349,100.6092
2026-08-05,100.4436,101.3557
2026-08-06,100.2063,101.1609
2026-08-07,100.7826,102.0109
2026-08-10,100.5058,102.0818
2026-08-11,100.3591,101.8705
2026-08-12,100.5969,102.238
2026-08-13,100.7274,102.374
2026-08-14,100.6199,102.3323
2026-08-17,100.7234,102.2417
2026-08-18,100.2947,101.5568
2026-08-19,101.7585,102.6252
2026-08-20,102.1461,102.1551
2026-08-21,102.8709,102.7354
2026-08-24,103.0086,102.827
