,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_LargeCap,1.0,0.8685701423777183,0.6069053586684547,0.473480332971351,0.4067414392476308,0.6985712499451178,0.7619451846957785,0.7715122882491914,0.6968877691274182,0.8354309161302567,-0.0017069360218098907,0.05247961288629954,0.00944526137384214,0.4152511889942321,0.5241199203001834,0.7833581689758436,0.6632659626723584,0.5598751970365974,0.42749797712705945,0.7243007129675767,0.6907628991243189,0.39224407075701256,0.13854139439276958,0.37506271620909404
US_SmallCap,0.8685701423777183,1.0,0.5804516530736203,0.46219308814986093,0.3835943196292878,0.6559251506147292,0.7056458761745594,0.6913110087366648,0.6516333473307702,0.7572825373156618,-0.04948188045876811,-0.02274931288507059,-0.061115863205456006,0.3247021489103067,0.44194016288355725,0.7340363292132182,0.5808359700281568,0.4837278196194967,0.3526622594968791,0.7062536952852789,0.6552055940185739,0.39315112249381623,0.06811204105951746,0.3612449270774226
Mexico_Eq,0.6069053586684547,0.5804516530736203,1.0,0.6561637728657713,0.3231648367881445,0.5675740524534311,0.6978872811957779,0.7272996101568625,0.6547616237999138,0.7415088900072994,-0.007639453922729851,0.017656402777946688,-0.049221329048782264,0.3049125606520229,0.4378437222197962,0.6428131863484482,0.6423077686100304,0.6970401116823296,0.32271965864226576,0.5396687137279974,0.7032730871103626,0.4246687919724366,0.27972467537494394,0.6882805624125653
Brazil_Eq,0.473480332971351,0.46219308814986093,0.6561637728657713,1.0,0.3467578833322739,0.40895662308343406,0.6035326755504088,0.576554498284899,0.6665344636165595,0.5981527495167316,0.023651094382502017,-0.04315391550846236,-0.10490893177121866,0.28475934109561984,0.3646149105048203,0.5828538113250683,0.5928751210066023,0.763751909510893,0.17728869493924487,0.4368208607481995,0.6365994040387813,0.5085183087075291,0.3318450651749085,0.5083594093565447
China_Eq,0.4067414392476308,0.3835943196292878,0.3231648367881445,0.3467578833322739,1.0,0.4260206965757778,0.5162508221195847,0.4827838455410567,0.7537745687782754,0.5465736440913272,0.02812406648155067,0.05647422625772896,0.00974954365120359,0.2209879083598211,0.3295699262970692,0.3987037721409555,0.46084201065667635,0.5480002611116163,0.11453924846179889,0.3092687397340745,0.6063678643288607,0.3407376189186472,0.2917256295408092,0.3576762238147653
Japan_Eq,0.6985712499451178,0.6559251506147292,0.5675740524534311,0.40895662308343406,0.4260206965757778,1.0,0.6818891600741652,0.6986919772955823,0.6876752845330439,0.8333405858168728,0.056344549625462294,0.13675460999258252,0.04715637342155789,0.3391155955615163,0.4336561684015188,0.5970300372066147,0.5844342774066612,0.5827274121001997,0.3788161950301358,0.5098500706968122,0.7059188815131235,0.2668196926157246,0.13365347845061432,0.45095626996406424
UK_Eq,0.7619451846957785,0.7056458761745594,0.6978872811957779,0.6035326755504088,0.5162508221195847,0.6818891600741652,1.0,0.9020463724613774,0.7481004537403453,0.9332920705788351,0.03154470775435489,0.0019301901710401606,-0.08686034906383917,0.3635857477092187,0.46214046649033186,0.7515205193964166,0.6844855517720004,0.6933614885570588,0.2866008845841099,0.6346453287308601,0.8329978655248311,0.5686748030916209,0.2597577400569367,0.4732539988506888
France_Eq,0.7715122882491914,0.6913110087366648,0.7272996101568625,0.576554498284899,0.4827838455410567,0.6986919772955823,0.9020463724613774,1.0,0.7417868357152708,0.9478257512555546,-0.004847587648286886,0.05739419564159285,-0.04034966248017647,0.37160031085864814,0.5036156383987828,0.7355840385966507,0.6997548507421232,0.7072081028179278,0.3647901994009999,0.6167952075152274,0.8061320104621305,0.4571164930843902,0.2438357704652878,0.5113873085991618
EM_Eq,0.6968877691274182,0.6516333473307702,0.6547616237999138,0.6665344636165595,0.7537745687782754,0.6876752845330439,0.7481004537403453,0.7417868357152708,1.0,0.8223340625158592,0.05710000389668675,0.09272579549063345,0.017624643136041927,0.4056365605411654,0.5083388456348167,0.67614828953705,0.7237605984072824,0.8170732930549462,0.3510176896091879,0.5600156346645162,0.8264678994280374,0.46145430460966724,0.3911775590968079,0.5221051828526891
DM_exUS_Eq,0.8354309161302567,0.7572825373156618,0.7415088900072994,0.5981527495167316,0.5465736440913272,0.8333405858168728,0.9332920705788351,0.9478257512555546,0.8223340625158592,1.0,0.03714191734136377,0.11016792627256847,0.007824439244225366,0.43640739411340507,0.5546998390157507,0.7827809646996003,0.7528378290736906,0.7614406469996056,0.40953900943909965,0.6826864253851243,0.8734791533345889,0.455387557254459,0.2765596245870154,0.5366699013660952
US_Cash_TBill,-0.0017069360218098907,-0.04948188045876811,-0.007639453922729851,0.023651094382502017,0.02812406648155067,0.056344549625462294,0.03154470775435489,-0.004847587648286886,0.05710000389668675,0.03714191734136377,1.0,0.052737500280407,-0.0026609576959855906,0.008035582909437199,0.02049091562076067,0.010850697531808498,0.04985509647817182,0.09211962549306955,0.04998551558211751,-0.06350730753475238,-0.025849764088020054,0.006104977927021196,0.21169183881138157,0.07596576481245486
US_Treas_Interm,0.05247961288629954,-0.02274931288507059,0.017656402777946688,-0.04315391550846236,0.05647422625772896,0.13675460999258252,0.0019301901710401606,0.05739419564159285,0.09272579549063345,0.11016792627256847,0.052737500280407,1.0,0.9215327185948524,0.7738231887221048,0.7411992977453364,0.2292877170714637,0.4224212501147904,0.22990215024401173,0.7723879804233361,0.3494790709936838,0.24074394595241316,-0.32416117890227863,0.3107659846760288,0.11883427550080752
US_Treas_Long,0.00944526137384214,-0.061115863205456006,-0.049221329048782264,-0.10490893177121866,0.00974954365120359,0.04715637342155789,-0.08686034906383917,-0.04034966248017647,0.017624643136041927,0.007824439244225366,-0.0026609576959855906,0.9215327185948524,1.0,0.679730371920558,0.7001975610297894,0.12714685573720988,0.35791995969835105,0.10998776654772792,0.7398048360755155,0.3223925908995982,0.14634534685095235,-0.38717381164587117,0.21769022178649927,0.026573880483237257
US_TIPS,0.4152511889942321,0.3247021489103067,0.3049125606520229,0.28475934109561984,0.2209879083598211,0.3391155955615163,0.3635857477092187,0.37160031085864814,0.4056365605411654,0.43640739411340507,0.008035582909437199,0.7738231887221048,0.679730371920558,1.0,0.7978890666625018,0.5605300066681125,0.6551926706293256,0.46876734294353956,0.7636818853336699,0.6101597629186396,0.532635053007103,0.0629490569534326,0.4302051714434619,0.2635764100396895
US_IG_Corp,0.5241199203001834,0.44194016288355725,0.4378437222197962,0.3646149105048203,0.3295699262970692,0.4336561684015188,0.46214046649033186,0.5036156383987828,0.5083388456348167,0.5546998390157507,0.02049091562076067,0.7411992977453364,0.7001975610297894,0.7978890666625018,1.0,0.7065626841741512,0.8260769863886792,0.5892411523164833,0.8435541138108071,0.6697321970189394,0.6173073719080637,0.044805371924238495,0.32083342299543577,0.3758173422386613
US_HighYield,0.7833581689758436,0.7340363292132182,0.6428131863484482,0.5828538113250683,0.3987037721409555,0.5970300372066147,0.7515205193964166,0.7355840385966507,0.67614828953705,0.7827809646996003,0.010850697531808498,0.2292877170714637,0.12714685573720988,0.5605300066681125,0.7065626841741512,1.0,0.816059099905068,0.6796770507542047,0.5947288942571913,0.7161716163052031,0.7287195867340258,0.4272160628700138,0.2616071972088899,0.45854780019252467
EM_USD_Sov,0.6632659626723584,0.5808359700281568,0.6423077686100304,0.5928751210066023,0.46084201065667635,0.5844342774066612,0.6844855517720004,0.6997548507421232,0.7237605984072824,0.7528378290736906,0.04985509647817182,0.4224212501147904,0.35791995969835105,0.6551926706293256,0.8260769863886792,0.816059099905068,1.0,0.8126645557974879,0.6744787759974388,0.7140428917115397,0.795300797493356,0.2998927990922879,0.35022318986910406,0.543338886522466
EM_Local_Debt,0.5598751970365974,0.4837278196194967,0.6970401116823296,0.763751909510893,0.5480002611116163,0.5827274121001997,0.6933614885570588,0.7072081028179278,0.8170732930549462,0.7614406469996056,0.09211962549306955,0.22990215024401173,0.10998776654772792,0.46876734294353956,0.5892411523164833,0.6796770507542047,0.8126645557974879,1.0,0.41781367202032504,0.5593672786522466,0.8008095313553296,0.3783086556455989,0.45447262453851955,0.6447089818710503
Global_Agg_exUS,0.42749797712705945,0.3526622594968791,0.32271965864226576,0.17728869493924487,0.11453924846179889,0.3788161950301358,0.2866008845841099,0.3647901994009999,0.3510176896091879,0.40953900943909965,0.04998551558211751,0.7723879804233361,0.7398048360755155,0.7636818853336699,0.8435541138108071,0.5947288942571913,0.6744787759974388,0.41781367202032504,1.0,0.5978166298920837,0.49674106783704675,-0.21409535024474816,0.3181326896665202,0.24522036977497264
US_REITs,0.7243007129675767,0.7062536952852789,0.5396687137279974,0.4368208607481995,0.3092687397340745,0.5098500706968122,0.6346453287308601,0.6167952075152274,0.5600156346645162,0.6826864253851243,-0.06350730753475238,0.3494790709936838,0.3223925908995982,0.6101597629186396,0.6697321970189394,0.7161716163052031,0.7140428917115397,0.5593672786522466,0.5978166298920837,1.0,0.7562899181011334,0.2394028755963561,0.2062472030124017,0.2959524558876086
Global_REITs_exUS,0.6907628991243189,0.6552055940185739,0.7032730871103626,0.6365994040387813,0.6063678643288607,0.7059188815131235,0.8329978655248311,0.8061320104621305,0.8264678994280374,0.8734791533345889,-0.025849764088020054,0.24074394595241316,0.14634534685095235,0.532635053007103,0.6173073719080637,0.7287195867340258,0.795300797493356,0.8008095313553296,0.49674106783704675,0.7562899181011334,1.0,0.4030255556687669,0.35469978214340575,0.5390069607660626
Commodities,0.39224407075701256,0.39315112249381623,0.4246687919724366,0.5085183087075291,0.3407376189186472,0.2668196926157246,0.5686748030916209,0.4571164930843902,0.46145430460966724,0.455387557254459,0.006104977927021196,-0.32416117890227863,-0.38717381164587117,0.0629490569534326,0.044805371924238495,0.4272160628700138,0.2998927990922879,0.3783086556455989,-0.21409535024474816,0.2394028755963561,0.4030255556687669,1.0,0.23595863159856703,0.3294162204552946
Gold,0.13854139439276958,0.06811204105951746,0.27972467537494394,0.3318450651749085,0.2917256295408092,0.13365347845061432,0.2597577400569367,0.2438357704652878,0.3911775590968079,0.2765596245870154,0.21169183881138157,0.3107659846760288,0.21769022178649927,0.4302051714434619,0.32083342299543577,0.2616071972088899,0.35022318986910406,0.45447262453851955,0.3181326896665202,0.2062472030124017,0.35469978214340575,0.23595863159856703,1.0,0.2918837649076501
Mexico_Govt_Local,0.37506271620909404,0.3612449270774226,0.6882805624125653,0.5083594093565447,0.3576762238147653,0.45095626996406424,0.4732539988506888,0.5113873085991618,0.5221051828526891,0.5366699013660952,0.07596576481245486,0.11883427550080752,0.026573880483237257,0.2635764100396895,0.3758173422386613,0.45854780019252467,0.543338886522466,0.6447089818710503,0.24522036977497264,0.2959524558876086,0.5390069607660626,0.3294162204552946,0.2918837649076501,1.0
