,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_LargeCap,1.0,0.8118973395096533,0.543985540654335,0.4020301182700545,0.34262651298097696,0.6804681399099005,0.6923459310229799,0.721542302623261,0.645623987614428,0.7762300315263829,0.0012788056332384522,0.08885065949961017,0.09867908992746863,0.3553237500640279,0.4809624763861124,0.6758749679701058,0.6017088454962701,0.48879612246029314,0.2963073786900749,0.6737595883797701,0.6473053267647028,0.31254888579092366,0.07016673462033034,0.3218787298996263
US_SmallCap,0.8118973395096533,1.0,0.5110632609865534,0.3889727534631858,0.3090830102289092,0.6546527881479497,0.6428076577278501,0.6394301424699705,0.596663076013561,0.7061048801133889,-0.004905599261359139,0.03007319510065675,0.0363109303315828,0.28641551546697497,0.4177473743443197,0.6354201631530019,0.5294462859807777,0.41449510718775734,0.2468801943752959,0.6620562102601721,0.6135780193194955,0.32246851409742877,-0.006847797533796326,0.31737408803911044
Mexico_Eq,0.5439855406543349,0.5110632609865534,1.0,0.6029728955702809,0.2394475346020523,0.5408912401582502,0.6325645903982061,0.6800377885710409,0.5810785974957425,0.6797052927925625,0.0008827799673482045,0.06880974584559653,0.06173509605835794,0.2561431003719939,0.4122762467409723,0.52826532900604,0.5632611447587799,0.6121728276337801,0.22615511791442527,0.47542606879153887,0.6412485341581998,0.3400821281503165,0.19678303787190654,0.6564896443225994
Brazil_Eq,0.4020301182700545,0.3889727534631858,0.6029728955702809,1.0,0.2615935250808165,0.37263015301075375,0.5267285091799256,0.4986041023434293,0.5874073182185778,0.5184454909044197,0.00026439445788595207,-0.006698150647181971,-0.030442480530071953,0.21411393020373493,0.3095122137739309,0.46171517888531394,0.500909142127386,0.6880793321758416,0.11773332513572703,0.36644359456593684,0.5679097084784994,0.43692105717809865,0.25771437867049335,0.45482242803671424
China_Eq,0.34262651298097696,0.3090830102289092,0.23944753460205226,0.26159352508081657,1.0000000000000002,0.41541948629259884,0.44063382331506395,0.39803505894002994,0.6901370412780904,0.4713416637617083,0.004900847379993692,0.0857206268782217,0.10228483691134553,0.1591490400428927,0.29746996079060334,0.28653862223592125,0.3993943620079479,0.4504950507606919,0.08356361873655249,0.23726427313910536,0.5398929316831095,0.26182943041703854,0.21561085153896525,0.3061477124657829
Japan_Eq,0.6804681399099005,0.6546527881479497,0.5408912401582501,0.3726301530107538,0.4154194862925988,1.0000000000000002,0.6689220129936977,0.6916512715774746,0.686763042111854,0.8033168182198959,0.010008219144253983,0.16004528023787348,0.1080866686760641,0.3138390508695781,0.42684288592157776,0.5455467982290025,0.5611285897616217,0.5405330385515275,0.2669313697217814,0.4850445257926192,0.6815663623866515,0.22439620662220586,0.11777915629872242,0.4271620049707285
UK_Eq,0.69234593102298,0.64280765772785,0.6325645903982061,0.5267285091799256,0.4406338233150639,0.6689220129936976,0.9999999999999999,0.8542981674667387,0.6744831818422764,0.8715783989827963,0.006319282152602213,0.04789435363565917,0.010804067107601624,0.30686312817776085,0.4199978220643864,0.6159559820984571,0.600038412174706,0.5970049793075463,0.1962764284114837,0.5720418044403359,0.7840866482377187,0.49125561621940717,0.18226170464763777,0.4101394590181246
France_Eq,0.721542302623261,0.6394301424699705,0.680037788571041,0.49860410234342933,0.3980350589400299,0.6916512715774746,0.8542981674667387,0.9999999999999999,0.6667158986884678,0.895981680259035,-0.0003975733434735731,0.12221715454165807,0.09413342752327254,0.33598485695741664,0.483769146397619,0.623478454033202,0.6370067355724854,0.6184540952085877,0.25166210800781685,0.5667241585401255,0.7514808787012491,0.372647187770722,0.16184960829384018,0.45874261235875746
EM_Eq,0.645623987614428,0.596663076013561,0.5810785974957426,0.5874073182185777,0.6901370412780904,0.6867630421118539,0.6744831818422765,0.6667158986884678,1.0,0.7540085419418474,0.007550858444580743,0.14252096477361165,0.15224633759244013,0.3348713191879005,0.48308692184067686,0.5522817222851348,0.6597190081088586,0.7230434404712512,0.24832420627169638,0.49873717058828365,0.7657357824761328,0.35212176931031497,0.2879330078010486,0.4694778742855929
DM_exUS_Eq,0.7762300315263829,0.706104880113389,0.6797052927925625,0.5184454909044197,0.4713416637617082,0.803316818219896,0.8715783989827963,0.8959816802590349,0.7540085419418474,0.9999999999999998,0.006764494392219108,0.1558639392547523,0.12413310123995505,0.37634632955172453,0.5203685066089548,0.6593877495501,0.6798087563572218,0.6630813887454989,0.28416646435570947,0.6249783516012575,0.8143786597895053,0.3617453806406886,0.19616239210816705,0.4780053927456393
