,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_LargeCap,0.017827631911847556,0.020837840133222957,0.015941710852431974,0.016747492332407982,0.010485339217332676,0.014906304345602047,0.014910055115654712,0.01661452881671205,0.016092673629555087,0.01594909459066082,7.21072001556388e-06,0.0009016535772229306,0.002017994295552629,0.0028398710432345365,0.005097882455598349,0.00694918922033251,0.0077795356101076985,0.007099173810285991,0.002132664442577622,0.015160347807952414,0.013398026979014929,0.007050699683085207,0.0017394907875871598,0.00630627628701357
US_SmallCap,0.020837840133222953,0.03701378890264667,0.021613319525446234,0.02337881754427577,0.013695414950043179,0.02059233269292893,0.01997308055108228,0.021260175474314146,0.021362696086776538,0.020895909689658366,-3.179207500553485e-05,0.0004584887392410616,0.0010928917809330501,0.0033099228395915914,0.006389627245100274,0.009414875289382337,0.009869202324902293,0.008661279743017196,0.0025737174297437485,0.02152681128743509,0.018358635782943056,0.010377430941627167,-0.00040841874624424193,0.00896848084249598
Mexico_Eq,0.015941710852431977,0.02161331952544623,0.04770598355557742,0.040678451461191055,0.011930500892007092,0.019601348081426356,0.02224755926347545,0.025708554475531952,0.023776123049157737,0.022928169202333253,6.043725120880436e-06,0.0011610936619406236,0.002066721055532174,0.0033532336089688256,0.007148560762036595,0.008894964207072857,0.01193052323933507,0.014577287523791727,0.0026698011454514845,0.017522592456560467,0.02169447139206753,0.012511496245922673,0.008208940746890107,0.021014549233335372
Brazil_Eq,0.01674749233240798,0.02337881754427577,0.040678451461191055,0.09626934084984454,0.018253596156189288,0.01954222569587989,0.026226216418507604,0.02672279885653572,0.034274066841323475,0.02485313669188236,7.587427978764555e-08,-0.00020281954845873868,-0.0015136669148819713,0.003923198895444985,0.007544314714989917,0.010983425766449388,0.015018695717964953,0.023298880160229053,0.0019233888272346955,0.019084474570699287,0.027203791819360935,0.02320909451161193,0.015101998744432518,0.02067611052234503
China_Eq,0.010485339217332678,0.01369541495004318,0.011930500892007092,0.01825359615618929,0.05196359153461612,0.015625149540624737,0.016187246217410686,0.015775309521354804,0.02935847094429296,0.016592134554370353,3.591421135973094e-05,0.0015161209942084854,0.0035602117115227706,0.0021931399304707623,0.005398872422509166,0.005048895045897894,0.008839232293900389,0.011177279351466483,0.0010576518933445088,0.009202847016812536,0.019106287538226113,0.009885164920154005,0.0092344146666867,0.010225108503917698
Japan_Eq,0.014906304345602047,0.02059233269292893,0.019601348081426356,0.019542225695879892,0.015625149540624737,0.02711933107395052,0.01778454653881828,0.01955139463579316,0.021163236733298455,0.020325840336889122,5.9556325422014535e-05,0.0019348135185575104,0.002678707529703014,0.0030683835732823366,0.00555053205279292,0.006896463037628055,0.008920555678578707,0.009688872532412154,0.002338424963149031,0.013404269740501136,0.017386699163825976,0.006467577500964511,0.0034325213528372113,0.010342420650573628
UK_Eq,0.014910055115654715,0.019973080551082278,0.02224755926347545,0.026226216418507607,0.01618724621741069,0.01778454653881828,0.025917304786415584,0.023771829586392422,0.02028811427917396,0.021623925649589645,3.3984724891238735e-05,0.0005999594690792767,0.0002819530134130873,0.002957365559988609,0.005363368110181076,0.00763245036964102,0.00935632302120906,0.010462686235219135,0.0017096897359243721,0.015538459454805956,0.019557483582369733,0.013320028198523832,0.00551913749214338,0.009674961465299208
France_Eq,0.01661452881671205,0.021260175474314143,0.025708554475531952,0.026722798856535716,0.015775309521354808,0.01955139463579316,0.023771829586392415,0.029848875172665473,0.021392341959034788,0.023793529085921052,-4.067422580873011e-06,0.0016121693970293331,0.002480850286119936,0.003481425514460703,0.00662990775153377,0.008280709511920668,0.010647429027480435,0.011594830381959109,0.002359195936293588,0.016566404027857928,0.020165054382574786,0.010685116224173799,0.005039614442398866,0.011612118157995193
EM_Eq,0.016092673629555083,0.02136269608677654,0.023776123049157733,0.034274066841323475,0.02935847094429296,0.02116323673329846,0.02028811427917396,0.021392341959034784,0.03499823033926215,0.02167128980353521,5.197393793131166e-05,0.0019799076866411727,0.004311305186405595,0.0037217671291048826,0.007138341322254645,0.007933574210933457,0.011913357218431743,0.01471307286230644,0.002474672503219007,0.015608919375039491,0.022091490525754976,0.011331778382049339,0.01013782297886772,0.012857894872557651
DM_exUS_Eq,0.015949094590660816,0.020895909689658366,0.022928169202333253,0.02485313669188236,0.01659213455437035,0.020325840336889126,0.021623925649589645,0.023793529085921052,0.021671289803535207,0.02369584975105923,3.6584436966570594e-05,0.0018118626290677274,0.0029135419536066025,0.0034655271502980808,0.00635393787223666,0.007813434604680909,0.010129764641350935,0.011104724144006702,0.0023576633686572183,0.01621455931959369,0.019426798517756805,0.009405528805867203,0.00561985752176896,0.010790755733241486
