asset,class,DY,BB,g_real,infl,val_metric,val_now,val_fair,ER_lambda0.0,ER_lambda0.5,ER_lambda1.0,val_reversion_annual,note
US_LargeCap,Equity,0.012,0.017,0.025,0.024,CAPE,34.7,26.0,0.07800000000000001,0.06611669320041719,0.05423338640083436,-0.023766613599165654,
US_SmallCap,Equity,0.013,0.005,0.025,0.024,P/E,19.0,18.0,0.067,0.06475226661200523,0.06250453322401045,-0.004495466775989554,
Mexico_Eq,Equity,0.032,0.0,0.018,0.024,P/E,13.0,15.0,0.07400000000000001,0.07999822871878676,0.0859964574375735,0.011996457437573493,
Brazil_Eq,Equity,0.045,0.0,0.02,0.024,P/E,11.8,11.5,0.089,0.0879281298792364,0.0868562597584728,-0.0021437402415271922,
China_Eq,Equity,0.022,0.005,0.03,0.024,CAPE,17.7,15.0,0.08099999999999999,0.07415090796349386,0.06730181592698772,-0.013698184073012265,
Japan_Eq,Equity,0.022,0.01,0.015,0.024,CAPE,29.4,25.0,0.07100000000000001,0.06429047252513992,0.05758094505027983,-0.013419054949720177,
UK_Eq,Equity,0.038,0.005,0.013,0.024,CAPE,20.2,16.0,0.07999999999999999,0.07038147481294918,0.06076294962589837,-0.019237050374101616,
France_Eq,Equity,0.03,0.005,0.015,0.024,CAPE,21.0,20.0,0.074,0.07197120367553354,0.06994240735106709,-0.004057592648932906,
EM_Eq,Equity,0.028,0.0,0.028,0.024,CAPE,16.0,16.0,0.08,0.08,0.08,0.0,
DM_exUS_Eq,Equity,0.032,0.004,0.015,0.024,CAPE,18.0,19.0,0.07500000000000001,0.07725788362883229,0.07951576725766457,0.00451576725766456,
US_Cash_TBill,Fixed Income,,,,,,,,0.033,0.033,0.033,,"avg(3.7% spot, ~3.0% equilibrium cash rate)"
US_Treas_Interm,Fixed Income,,,,,,,,0.045,0.045,0.045,,"YTM ~4.5% (7-10y), slight normalization gain"
US_Treas_Long,Fixed Income,,,,,,,,0.048,0.048,0.048,,"YTM ~4.9% (20y+), duration/normalization"
US_TIPS,Fixed Income,,,,,,,,0.045,0.045,0.045,,10y real yield 2.1% + US inflation 2.4%
US_IG_Corp,Fixed Income,,,,,,,,0.05,0.05,0.05,,YTM ~5.3% - ~0.2% loss - tight-spread drag
US_HighYield,Fixed Income,,,,,,,,0.05,0.05,0.05,,YTM ~7.5% - ~2.3% credit loss - tight-OAS drag
EM_USD_Sov,Fixed Income,,,,,,,,0.06,0.06,0.06,,EMBI YTM ~7.0% - ~0.9% sovereign loss
EM_Local_Debt,Fixed Income,,,,,,,,0.048,0.048,0.048,,local yield ~6.3% - ~1.5% EM FX depreciation
Global_Agg_exUS,Fixed Income,,,,,,,,0.038,0.038,0.038,,BNDX USD-hedged: hedged yield ~3.8%
Mexico_Govt_Local,Fixed Income,,,,,,,,0.063,0.063,0.063,,Mbono 10y 8.88% - ~2.5% MXN depreciation vs USD
US_REITs,Real Asset,,,,,,,,0.063,0.063,0.063,,income ~3.8% + real growth ~2% + inflation
Global_REITs_exUS,Real Asset,,,,,,,,0.064,0.064,0.064,,income ~4.2% + growth ~1.5% + inflation
Commodities,Real Asset,,,,,,,,0.035,0.035,0.035,,collateral ~3.3% + ~0% real spot + roll
Gold,Real Asset,,,,,,,,0.033,0.033,0.033,,inflation 2.4% + ~1% long-run real return
