asset,class,ER_lambda0.0,ER_lambda0.5,ER_lambda1.0,vol,sharpe_base,lambda_spread
US_LargeCap,Equity,0.07800000000000001,0.05987988933867566,0.04175977867735131,0.1412852849693709,0.1902525754504648,0.0362402213226487
US_SmallCap,Equity,0.067,0.06475226661200523,0.06250453322401045,0.1931986558536996,0.1643503494975128,0.004495466775989554
Mexico_Eq,Equity,0.07400000000000001,0.07999822871878676,0.0859964574375735,0.2309688924032052,0.20348293759291783,-0.011996457437573493
Brazil_Eq,Equity,0.089,0.0879281298792364,0.0868562597584728,0.3234252365204056,0.16983254142498203,0.0021437402415271922
China_Eq,Equity,0.08099999999999999,0.07415090796349386,0.06730181592698772,0.23249807152318888,0.17699462061727056,0.013698184073012265
Japan_Eq,Equity,0.07100000000000001,0.06429047252513992,0.05758094505027983,0.13852637599324338,0.22588097249195424,0.013419054949720177
UK_Eq,Equity,0.07999999999999999,0.07038147481294918,0.06076294962589837,0.155537851267666,0.24033683446365206,0.019237050374101616
France_Eq,Equity,0.074,0.07197120367553354,0.06994240735106709,0.18325843927890115,0.21265707505138817,0.004057592648932906
EM_Eq,Equity,0.08,0.08,0.08,0.1798849821239959,0.2612780647113865,0.0
DM_exUS_Eq,Equity,0.07500000000000001,0.07725788362883229,0.07951576725766457,0.14806077579076457,0.29891700480737937,-0.00451576725766456
US_Cash_TBill,Fixed Income,0.033,0.033,0.033,0.005524139044038776,0.0,0.0
US_Treas_Interm,Fixed Income,0.045,0.045,0.045,0.061678787565636405,0.19455635354748207,0.0
US_Treas_Long,Fixed Income,0.048,0.048,0.048,0.13298101436172674,0.11279805671505803,0.0
US_TIPS,Fixed Income,0.045,0.045,0.045,0.04957284468643201,0.24206801275788742,0.0
US_IG_Corp,Fixed Income,0.05,0.05,0.05,0.07441081341259473,0.22846141871528838,0.0
US_HighYield,Fixed Income,0.05,0.05,0.05,0.07413447186639151,0.22931302499380005,0.0
EM_USD_Sov,Fixed Income,0.06,0.06,0.06,0.09424366986575922,0.28649139022768133,0.0
EM_Local_Debt,Fixed Income,0.048,0.048,0.048,0.11356052251818716,0.13208815587826916,0.0
Global_Agg_exUS,Fixed Income,0.038,0.038,0.038,0.04040328576268575,0.12375231136814427,0.0
Mexico_Govt_Local,Fixed Income,0.063,0.063,0.063,0.15354459649334098,0.19538297462197607,0.0
US_REITs,Real Asset,0.063,0.063,0.063,0.17218117920016426,0.17423507109986955,0.0
Global_REITs_exUS,Real Asset,0.064,0.064,0.064,0.16711894106886183,0.18549662774147405,0.0
Commodities,Real Asset,0.035,0.035,0.035,0.17542158703728436,0.011401105381488304,0.0
Gold,Real Asset,0.033,0.033,0.033,0.1633826442033996,0.0,0.0
