asset,ER_point,p5,p25,p50,p75,p95,P_loss_12y,P_below_infl
US_LargeCap,0.0661166932004171,-0.004186145418218308,0.03172620009865024,0.05753361458490003,0.0839702450668558,0.12355128357492023,0.06306,0.189288
US_SmallCap,0.0647522666120052,-0.0394259176861102,0.010739517817833943,0.0474825910776272,0.08504235174906594,0.14161173883158532,0.190412,0.333936
Mexico_Eq,0.0799982287187867,-0.041040981637602995,0.01585846827020637,0.05742908792146906,0.1006584434339533,0.16563567284641478,0.172748,0.294524
Brazil_Eq,0.0879281298792364,-0.0934676119128083,-0.01595728890868195,0.04198032185721323,0.10324144550296327,0.19813023469014446,0.314764,0.418688
China_Eq,0.0741509079634938,-0.05053693722507812,0.007624552533568807,0.050267313507469824,0.0945461103657586,0.16154405707215924,0.212172,0.340476
Japan_Eq,0.0642904725251399,-0.02325370618255842,0.019931444772191387,0.05128838777237632,0.08390666964438981,0.13234021788603123,0.132184,0.279052
UK_Eq,0.0703814748129491,-0.01658288137497886,0.026645057497383606,0.0577305489509512,0.09003605176385604,0.13817381393499653,0.102156,0.23208
France_Eq,0.0719712036755335,-0.021516905891977217,0.024316077552961946,0.05763539473913326,0.09189060525630566,0.14317986020440157,0.118492,0.247828
EM_Eq,0.08,-0.019450153839853133,0.028936848613540067,0.06395824920511439,0.10031622864445966,0.15534805408105953,0.106012,0.220556
DM_exUS_Eq,0.0772578836288322,-0.005083092815393735,0.03619787272237551,0.06578660080514609,0.09639151494120862,0.14243485256593022,0.064016,0.169356
US_Cash_TBill,0.033,0.016289728196108605,0.0257863528989265,0.03242166026383431,0.03915482875370763,0.04877803746878978,0.00044,0.196
US_Treas_Interm,0.045,0.0070163226326571924,0.027570365270935093,0.0421489144629581,0.05706041405201451,0.07861433059244473,0.023724,0.199728
US_Treas_Long,0.048,-0.03179885518017508,0.00841067832483755,0.037144313557445074,0.06668012773246895,0.11051957601114605,0.191632,0.380232
US_TIPS,0.045,0.014307599797301562,0.031179569345734293,0.043124374070783955,0.055256234161894235,0.07290744027038278,0.006816,0.139412
US_IG_Corp,0.05,0.009536553076281925,0.031482946574586945,0.04696439598597768,0.06256026090272443,0.08546665807167694,0.0185,0.15784
US_HighYield,0.05,0.010335062372814601,0.031794138628512936,0.04703599263863967,0.062411387883570646,0.08512482097634881,0.017,0.152952
EM_USD_Sov,0.06,0.0097192774397999,0.03634957414547085,0.05528488075019333,0.0747620325325889,0.10302967016107732,0.022448,0.130924
EM_Local_Debt,0.048,-0.009649031628930556,0.020465498821605865,0.041950176509079506,0.06393634574561896,0.09628889007312816,0.091344,0.287396
Global_Agg_exUS,0.038,0.008706235684672037,0.024908634252249928,0.036273103905429815,0.04781819694984002,0.06453086509530162,0.014392,0.233192
US_REITs,0.063,-0.03018422058897472,0.015659426894109152,0.04867191109597224,0.08285976146570684,0.13416528147911733,0.158108,0.308048
Global_REITs_exUS,0.064,-0.02242520392634029,0.02025882969274717,0.05134706706392567,0.08361267406398326,0.13120927352372427,0.129868,0.276932
Commodities,0.035,-0.056470803262079275,-0.01138852641942495,0.020912685696320654,0.054165020428332655,0.10452419694253366,0.332184,0.525136
Gold,0.033,-0.06629455096550782,-0.018142532889026064,0.01670274218714607,0.052745866661623564,0.10689433740180072,0.37484,0.555548
Mexico_Govt_Local,0.063,0.005405358929061607,0.03553958939787272,0.057032314487361124,0.07902128438761902,0.11136519447813624,0.034436,0.148196
