,Mexico_Govt_Local
2001-08-01,100.28912933297131
2001-09-01,97.87813222389998
2001-10-01,100.2849027522631
2001-11-01,101.33741763822334
2001-12-01,108.35996263819368
2002-01-01,111.33866312077404
2002-02-01,112.88315918686267
2002-03-01,116.95770217521815
2002-04-01,112.27468808321748
2002-05-01,114.3868528651219
2002-06-01,106.13116403861696
2002-07-01,107.49191954803791
2002-08-01,106.71355527383596
2002-09-01,104.59407810744321
2002-10-01,99.95758628702615
2002-11-01,102.09325109680587
2002-12-01,105.34683990737852
2003-01-01,101.5871066622618
2003-02-01,101.45553550757398
2003-03-01,101.49115751149766
2003-04-01,113.87196413753622
2003-05-01,121.92637274252363
2003-06-01,124.80637551541578
2003-07-01,118.50758219200048
2003-08-01,113.19956570985505
2003-09-01,118.42739112605733
2003-10-01,119.71142477206106
2003-11-01,116.07805500245814
2003-12-01,118.71271940444117
2004-01-01,122.03245541767507
2004-02-01,121.83479315302732
2004-03-01,119.58643917671539
2004-04-01,115.64612617574568
2004-05-01,107.48632273694463
2004-06-01,105.9065894054243
2004-07-01,111.44024489371517
2004-08-01,110.92673103887103
2004-09-01,110.11001838089594
2004-10-01,113.47660701428053
2004-11-01,112.54604315894822
2004-12-01,118.79045830842281
2005-01-01,116.95498794310907
2005-02-01,122.13010893945209
2005-03-01,117.2237300152563
2005-04-01,118.14651769917408
2005-05-01,125.21080198741281
2005-06-01,130.11220320034352
2005-07-01,134.87822446325487
2005-08-01,133.2276765308564
2005-09-01,141.97591815133288
2005-10-01,139.70438402867828
2005-11-01,144.68183557236756
2005-12-01,147.68815329973975
2006-01-01,153.402313946053
2006-02-01,154.6589750637888
2006-03-01,148.97629130462812
2006-04-01,144.26818154446718
2006-05-01,140.48292595078783
2006-06-01,133.05635157687658
2006-07-01,147.70601276735474
2006-08-01,154.77198963234488
2006-09-01,153.3218182520301
2006-10-01,155.60390695872485
2006-11-01,158.66179938444407
2006-12-01,166.2015062888885
2007-01-01,165.09815780729505
2007-02-01,158.30912662696971
2007-03-01,162.54032988163965
2007-04-01,167.54374679500202
2007-05-01,170.67174834755215
2007-06-01,172.57499077260297
2007-07-01,170.7138905497632
2007-08-01,166.95343398214274
2007-09-01,169.82755275088945
2007-10-01,174.64771691088455
2007-11-01,172.04008730079738
2007-12-01,170.9727615555246
2008-01-01,178.8205779812116
2008-02-01,181.5158339422954
2008-03-01,185.844818431995
2008-04-01,186.66635901254833
2008-05-01,191.16115222837345
2008-06-01,185.87916185042187
2008-07-01,179.21901328788445
2008-08-01,183.97286584505602
2008-09-01,173.87546943101347
2008-10-01,151.73448442981748
2008-11-01,132.35939925719055
2008-12-01,143.90108992352165
2009-01-01,139.7957781340497
2009-02-01,131.42765889607705
2009-03-01,145.10392862912576
2009-04-01,150.36906286283337
2009-05-01,160.61022966060793
2009-06-01,154.30113176465704
2009-07-01,156.32220436340646
2009-08-01,155.79949541130162
2009-09-01,156.10856785676367
2009-10-01,160.48809107079472
2009-11-01,164.5605755270573
2009-12-01,166.51674233733854
2010-01-01,167.97483536720708
2010-02-01,174.4227797741406
2010-03-01,182.05786735889177
2010-04-01,185.82086929886967
2010-05-01,178.36738165389727
2010-06-01,179.93811494500795
2010-07-01,191.5045135150461
2010-08-01,190.0465579870898
2010-09-01,202.70649118648834
2010-10-01,208.47595375734102
2010-11-01,209.49175745407885
2010-12-01,195.73061425634506
2011-01-01,200.59859217912754
2011-02-01,202.48019907987995
2011-03-01,207.03841173183392
2011-04-01,213.56943516842986
2011-05-01,213.83891827078395
2011-06-01,217.9015513864863
2011-07-01,219.38656147596274
2011-08-01,226.54174125339708
2011-09-01,203.76386992910636
2011-10-01,196.95840917126816
2011-11-01,197.92593178531567
2011-12-01,193.12875156153504
2012-01-01,207.80353333423963
2012-02-01,212.8658012621031
2012-03-01,213.72106777248172
2012-04-01,211.91897592447236
2012-05-01,196.84463194589043
2012-06-01,215.37656312537644
2012-07-01,232.11066192930713
2012-08-01,233.57283305240327
2012-09-01,235.4833221911515
2012-10-01,234.07989992961055
2012-11-01,235.13747686505795
2012-12-01,235.3736148574646
2013-01-01,241.62162567172803
2013-02-01,249.95718392984716
2013-03-01,260.4475405856543
2013-04-01,266.10588662028357
2013-05-01,260.779011930494
2013-06-01,225.76189362453815
2013-07-01,229.31992910465496
2013-08-01,226.6336085664704
2013-09-01,227.4494809812386
2013-10-01,234.06910818888315
2013-11-01,233.2331026791698
2013-12-01,228.36534329502922
2014-01-01,222.96055319067366
2014-02-01,226.41505951815492
2014-03-01,232.9277340490469
2014-04-01,236.55868556345166
2014-05-01,246.8719876828552
2014-06-01,245.99465950012953
2014-07-01,245.44919997177445
2014-08-01,250.53364523142258
2014-09-01,245.00188787636827
2014-10-01,237.20985673885687
2014-11-01,232.60460502498142
2014-12-01,221.9330741196144
2015-01-01,219.2340962841516
2015-02-01,230.99453182518351
2015-03-01,214.66632994223724
2015-04-01,217.09324144002758
2015-05-01,218.38499605458557
2015-06-01,208.2148253510838
