,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_LargeCap,1.0,0.7881187419042257,0.48299503691196577,0.3310134196565228,0.5229948131666704,0.6668863294055826,0.7137553367803762,0.713482158571002,0.6585300460800165,0.7920852946841496,0.1609750292655117,-0.09145808359585544,-0.06668492067448763,0.20351689513514684,0.282361572765379,0.6905845970309835,0.4516724348127381,0.3552812902210753,0.18658813390691642,0.5950403528842851,0.600758085216395,0.358750484984957,0.009062111675074293,0.3552812902210753
US_SmallCap,0.7881187419042257,1.0,0.343288798486505,0.21933074752518603,0.483467607158395,0.6148950544365132,0.5625980944967404,0.5655733944443568,0.5314492754776875,0.6379071956088326,0.12502848019791432,-0.17014822310512237,-0.1409656396449254,0.05414663643720239,0.1724055025193261,0.6144748072102038,0.30740787913640816,0.20870726392920544,0.06121548880491047,0.5461908050107078,0.501617870648559,0.36199219293434803,-0.06913972132309368,0.20870726392920544
Mexico_Eq,0.48299503691196577,0.343288798486505,1.0,0.5255652901329414,0.3775335912486286,0.5002486087892313,0.5399505307879472,0.6245937963066607,0.6296362801596692,0.6323541612072819,0.15910826066505698,0.052934871759386146,0.030747846979283813,0.25708590093199724,0.341356785892822,0.5017711532976777,0.5396715162202147,0.5848951868688895,0.1604670377462642,0.3020585613765836,0.5634290550529909,0.2675632960177559,0.12633683346555238,0.5848951868688895
Brazil_Eq,0.3310134196565228,0.21933074752518603,0.5255652901329414,1.0,0.3914902913469038,0.35291645528045074,0.41405328548812736,0.39549644958332236,0.6831856870753963,0.4570970400071819,0.1456339670223568,0.045127213037422884,-0.013404042978941912,0.26668711416839314,0.29940002202465893,0.46230874353415613,0.5693476079000059,0.7436141768652939,0.13164662422463508,0.23832076761707902,0.5360992956964402,0.3039773148272651,0.2869992142227736,0.7436141768652939
China_Eq,0.5229948131666704,0.483467607158395,0.3775335912486286,0.3914902913469038,1.0,0.5658841879818737,0.52603822714246,0.5056809640341902,0.8305333416585248,0.6097397273300412,0.1677227789561855,0.03946917069646866,0.027129378960502923,0.20723249194397056,0.31904681545552793,0.4954623431396619,0.46179661325050464,0.4884828744481259,0.10424133859356878,0.2556364670341968,0.6683395437407808,0.3096945795216529,0.17130851365849484,0.4884828744481259
Japan_Eq,0.6668863294055826,0.6148950544365132,0.5002486087892313,0.35291645528045074,0.5658841879818737,1.0,0.6666310935041015,0.6574493102949234,0.7014181564857067,0.80838765735375,0.2044004651870345,-0.0612603561929588,-0.11252474193845124,0.15523647724484824,0.22252152500608605,0.5752904687570636,0.47125486514585274,0.4457146455711656,0.1489192359080132,0.3416100050902969,0.649630384174509,0.26536222098506934,-0.046843123867111224,0.4457146455711656
UK_Eq,0.7137553367803762,0.5625980944967404,0.5399505307879472,0.41405328548812736,0.52603822714246,0.6666310935041015,1.0,0.8908939093180266,0.662992568511061,0.9328623579562513,0.10662298174014408,-0.05716592712329468,-0.09604007895069885,0.24029275155811858,0.27874056839064454,0.6345661188435742,0.5049528411959218,0.4700346810545206,0.06328541673199228,0.46723045359875365,0.7524906166498848,0.4460221797518425,0.12262776910126909,0.4700346810545206
France_Eq,0.713482158571002,0.5655733944443568,0.6245937963066607,0.39549644958332236,0.5056809640341902,0.6574493102949234,0.8908939093180266,1.0,0.6532862568521868,0.9431880455472277,0.08063398922369687,-0.001531750087756128,-0.038337369389642086,0.24630787115194455,0.32828195714667013,0.625673826536809,0.5257515952461809,0.5059247333055571,0.10472019161437705,0.43030834786376676,0.6873731586471649,0.35244419320471215,0.13359125092055904,0.5059247333055571
EM_Eq,0.6585300460800165,0.5314492754776875,0.6296362801596692,0.6831856870753963,0.8305333416585248,0.7014181564857067,0.662992568511061,0.6532862568521868,1.0,0.7716597938175448,0.20383541926510898,0.10044773284993627,0.06709725462124866,0.34615911264632643,0.43740137575728805,0.6564445893050642,0.6839369839254396,0.7479220155017383,0.18859376035256584,0.4088980700988217,0.8113284295944188,0.38326174829115406,0.2464139245668339,0.7479220155017383
DM_exUS_Eq,0.7920852946841496,0.6379071956088326,0.6323541612072819,0.4570970400071819,0.6097397273300412,0.80838765735375,0.9328623579562513,0.9431880455472277,0.7716597938175448,1.0,0.15053607377586375,0.011223494107775529,-0.0324455181418001,0.2878336126028682,0.3663454376073671,0.6900934556051256,0.5986776667749505,0.5680227345694502,0.15711344239105257,0.5063226638727732,0.7977965561783017,0.35488045308649363,0.11511103285236332,0.5680227345694502
