,US_LargeCap,US_SmallCap,Mexico_Eq,Brazil_Eq,China_Eq,Japan_Eq,UK_Eq,France_Eq,EM_Eq,DM_exUS_Eq,US_Cash_TBill,US_Treas_Interm,US_Treas_Long,US_TIPS,US_IG_Corp,US_HighYield,EM_USD_Sov,EM_Local_Debt,Global_Agg_exUS,US_REITs,Global_REITs_exUS,Commodities,Gold,Mexico_Govt_Local
US_LargeCap,1.0,0.9016633687350168,0.6562059069790696,0.5535345932996386,0.2185202599402488,0.7828616543989303,0.7525459447345141,0.7902802429518975,0.7131651380988627,0.8444303905165559,-0.001998426074427,0.30222294653624604,0.26414006849216376,0.694788630853386,0.7367470800503074,0.8610896838536446,0.8127102320313699,0.7226541739645591,0.6451247984808144,0.8255879466177007,0.7598695460997129,0.3244794060747647,0.14732438582014362,0.7226541739645591
US_SmallCap,0.9016633687350168,1.0,0.6845128094747979,0.6171435945951821,0.1845080727115119,0.7489572639555853,0.7293732673363791,0.7244934739754233,0.7048340994062101,0.7908427727324455,-0.12519122867153482,0.19762810170962108,0.1638887846279041,0.6088359139112692,0.654258505810456,0.8014572115099646,0.7387055205370048,0.689236705354663,0.5677121437669557,0.7926822525992363,0.718844584022183,0.35938640056174426,0.04446839849191289,0.689236705354663
Mexico_Eq,0.6562059069790696,0.6845128094747979,1.0,0.7541534362318388,0.12965898617160168,0.6525507541863135,0.7726688483464873,0.7848214877377592,0.5889937884479443,0.7820211404394457,-0.05571380673160755,0.12952829549177788,0.1139649464661943,0.4213901125481196,0.5829740288381812,0.7164602575755541,0.6987951887383179,0.7433614104753978,0.4904976201535422,0.6837770765508858,0.7532503426010925,0.42182914144437866,0.2884071122615934,0.7433614104753978
Brazil_Eq,0.5535345932996386,0.6171435945951821,0.7541534362318388,1.0,0.13681125232457528,0.47909505845175987,0.7138019117201347,0.6733691026651337,0.5438652266349439,0.657705103750875,-0.05433663262859672,-0.022975747999678633,-0.015589067993301963,0.34188690697638413,0.44534123789384383,0.64851870006071,0.5903948627937265,0.7320042618879437,0.2695138155288867,0.594838946902682,0.6730418057345884,0.6083705111282002,0.2721008122991723,0.7320042618879437
China_Eq,0.2185202599402488,0.1845080727115119,0.12965898617160168,0.13681125232457528,1.0,0.3201929033391982,0.41142811551725267,0.332440068398172,0.6123606364045792,0.39530928953232686,0.055211289517692975,0.22024447919219883,0.2400085018112684,0.24839263165888156,0.39098649354416926,0.2385329243146646,0.4669940940821355,0.4880665996180285,0.20878034672243415,0.2658400381124381,0.48627392218155263,0.224154667123703,0.31902564266634736,0.4880665996180285
Japan_Eq,0.7828616543989303,0.7489572639555853,0.6525507541863135,0.47909505845175987,0.3201929033391982,1.0,0.7778973957667159,0.8110697587638607,0.7673682291010095,0.9095247841295406,0.0625978667111582,0.5125740713680043,0.39194596506453777,0.6879750095739806,0.7377251280759426,0.7229940491837533,0.7820641892461758,0.7865912372849125,0.7000778996700949,0.7045166931632958,0.838177524341816,0.1897606662044689,0.2906991816252491,0.7865912372849125
UK_Eq,0.7525459447345141,0.7293732673363791,0.7726688483464873,0.7138019117201347,0.41142811551725267,0.7778973957667159,1.0,0.9226650740014454,0.7561389605388179,0.9380453362585768,0.062252976250165785,0.2181572373759642,0.14539737164799652,0.5716195462367042,0.6421127364728494,0.7708365185421477,0.7893350286835251,0.8301280886979323,0.5200658150529635,0.7637381979848343,0.8921175364562463,0.5215210566434311,0.2578373174386744,0.8301280886979323
France_Eq,0.7902802429518975,0.7244934739754233,0.7848214877377592,0.6733691026651337,0.332440068398172,0.8110697587638607,0.9226650740014454,1.0,0.7418934797707464,0.9574187388297745,0.019562987914925924,0.30540796722808833,0.23103697728986763,0.6059437604468023,0.7114155525942445,0.7843326096489116,0.8260683833178813,0.8304852710595851,0.5883540807969552,0.7558048037149867,0.8680526315267157,0.39877482125031805,0.20592814273394364,0.8304852710595851
EM_Eq,0.7131651380988627,0.7048340994062101,0.5889937884479443,0.5438652266349439,0.6123606364045792,0.7673682291010095,0.7561389605388179,0.7418934797707464,1.0,0.8147364020205787,0.03264911474719849,0.28404899624324126,0.2976502135438231,0.554325401423272,0.6743825816445399,0.6702030784059335,0.8020723645154137,0.8279352415779322,0.5617515640368888,0.655439865027869,0.8183418269660166,0.3337666467769577,0.3610134482818746,0.8279352415779322
DM_exUS_Eq,0.8444303905165559,0.7908427727324455,0.7820211404394457,0.657705103750875,0.39530928953232686,0.9095247841295406,0.9380453362585768,0.9574187388297745,0.8147364020205787,1.0,0.05203636070212614,0.3853245554020483,0.30149273047437664,0.6830509009515384,0.7677882310532691,0.8238897493722491,0.8708767911242438,0.8794187188254505,0.6608905556119931,0.815444825481491,0.9248516269506192,0.3656960733497029,0.2916008016429803,0.8794187188254505
